LED,PD,LED_center_to_hole_mm,LED_pad_to_hole_mm,LED_pad_to_outer_mm,LED_rotation_deg,PD_center_to_hole_mm,PD_pad_to_hole_mm,PD_pad_to_outer_mm,PD_rotation_deg,center_spacing_mm
D1,PD1,1.65,0.9931,1.3015,61.38,1.65,0.45,0.7567,69.734,4.8531
D2,PD2,1.65,1.0,1.3907,6.53,1.65,0.4357,0.7646,9.481,4.9739
D3,PD3,1.65,1.0,1.3909,-11.779,1.65,0.45,0.8497,-7.387,4.9387
D4,PD4,1.65,1.0,1.3997,-74.093,1.65,0.4304,0.7408,-65.946,4.8693
D5,PD5,1.6499,0.9687,1.3092,-105.15,1.65,0.441,0.7369,-89.524,4.8047
D6,PD6,1.65,1.0,7.9955,-174.743,1.6501,0.4449,5.2388,-167.812,4.9322
D7,PD7,1.65,1.0,8.2683,172.509,1.65,0.45,7.255,176.212,4.9486
D8,PD8,1.6496,0.9995,1.315,87.338,1.65,0.4495,0.5602,106.619,4.8493
D9,PD9,1.65,0.9869,1.3234,-61.268,1.6496,0.4492,0.7436,-70.297,4.9198
D10,PD10,1.65,1.0,1.3935,-6.53,1.65,0.4357,0.7821,-9.481,4.9739
D11,PD11,1.65,1.0,1.3909,11.779,1.65,0.45,0.8497,7.387,4.9387
D12,PD12,1.65,1.0,1.3872,74.093,1.65,0.4304,0.7294,65.946,4.8693
D13,PD13,1.6499,0.9687,1.3111,105.15,1.65,0.441,0.7369,89.524,4.8047
D14,PD14,1.65,1.0,7.997,174.743,1.6501,0.4449,5.2387,167.812,4.9322
D15,PD15,1.65,1.0,8.2297,-173.002,1.65,0.4499,7.1826,-174.859,4.974
D16,PD16,1.65,1.0,1.3423,-87.24,1.65,0.439,0.5635,-106.197,4.8339
