Designator,Mid X,Mid Y,Layer,Rotation
C1,85.000000,-58.250000,Top,0.000000
C2,121.250000,-58.562000,Top,0.000000
C3,76.388000,-64.500000,Top,90.000000
C4,61.888000,-58.150000,Top,0.000000
C5,136.638000,-60.000000,Top,90.000000
C6,147.888000,-64.650000,Top,0.000000
C7,88.138000,-59.550000,Top,0.000000
C8,97.862000,-58.475000,Top,0.000000
C9,133.862000,-57.975000,Top,0.000000
C10,112.750000,-68.913000,Top,0.000000
C11,104.088000,-64.250000,Top,90.000000
C12,112.412000,-72.050000,Top,90.000000
C13,107.500000,-72.212000,Top,90.000000
C14,170.500000,-68.050000,Top,0.000000
C15,87.750000,-65.000000,Top,90.000000
C16,119.250000,-58.562000,Top,0.000000
C17,104.000000,-58.838000,Top,90.000000
C18,116.000000,-58.250000,Top,90.000000
C19,102.750000,-58.250000,Top,90.000000
C20,114.750000,-72.000000,Top,90.000000
C21,89.000000,-65.000000,Top,90.000000
C22,68.000000,-65.250000,Top,90.000000
C23,152.000000,-65.250000,Top,90.000000
C24,159.250000,-57.750000,Top,0.000000
C25,158.750000,-62.500000,Top,0.000000
C26,125.250000,-66.000000,Top,90.000000
C27,84.000000,-63.250000,Top,90.000000
C28,122.000000,-67.300000,Top,0.000000
C29,103.500000,-69.000000,Top,0.000000
C30,116.000000,-69.000000,Top,0.000000
C31,90.250000,-65.000000,Top,90.000000
CF1,72.888000,-60.875000,Top,90.000000
CF2,72.888000,-62.875000,Top,90.000000
CF3,82.112000,-60.125000,Top,90.000000
CF4,83.362000,-60.125000,Top,90.000000
CF5,64.138000,-58.025000,Top,0.000000
CF6,65.888000,-64.775000,Top,0.000000
CF7,71.612000,-63.025000,Top,90.000000
CF8,71.612000,-59.775000,Top,90.000000
CF9,137.888000,-60.875000,Top,90.000000
CF10,136.638000,-62.125000,Top,90.000000
CF11,147.112000,-62.125000,Top,90.000000
CF12,148.362000,-58.875000,Top,90.000000
CF13,148.388000,-61.025000,Top,90.000000
CF14,150.138000,-64.775000,Top,0.000000
CF15,154.112000,-64.775000,Top,0.000000
CF16,153.862000,-58.025000,Top,0.000000
D1,96.798800,-99.130200,Top,60.632000
D2,81.307800,-106.602900,Top,6.530000
D3,60.769100,-105.557800,Top,-11.779000
D4,48.490100,-93.975400,Top,-74.093000
D5,46.576500,-73.926999,Top,-102.150000
D6,62.905500,-66.298100,Top,-174.743000
D7,84.912000,-66.631599,Top,172.509000
D8,102.091500,-78.753400,Top,87.410000
D9,123.253199,-99.216100,Top,-63.186000
D10,138.692200,-106.602900,Top,-6.530000
D11,159.230900,-105.557800,Top,11.779000
D12,171.509900,-93.975400,Top,74.093000
D13,173.423500,-73.926999,Top,102.150000
D14,157.094499,-66.298100,Top,174.743000
D15,135.070700,-66.578800,Top,-173.002000
D16,117.930300,-78.688600,Top,-87.240000
D17,159.000000,-60.000000,Top,90.000000
FB1,89.000000,-67.000000,Top,0.000000
J1,165.000000,-61.700000,Top,180.000000
PD1,98.772200,-94.793700,Top,69.734000
PD2,86.232500,-106.021000,Top,8.481000
PD3,65.591800,-106.450800,Top,-7.387000
PD4,49.895200,-98.567800,Top,-64.946000
PD5,45.894000,-78.579400,Top,-88.524000
PD6,58.038200,-66.826300,Top,-168.750000
PD7,80.031000,-66.001599,Top,176.212000
PD8,101.832700,-74.066500,Top,106.613000
PD9,121.206099,-94.791700,Top,-70.355000
PD10,133.767499,-106.021000,Top,-8.481000
PD11,154.408200,-106.450800,Top,7.387000
PD12,170.104800,-98.567800,Top,64.946000
PD13,174.106000,-78.579400,Top,88.524000
PD14,161.961799,-66.826300,Top,168.750000
PD15,139.994100,-65.978100,Top,-174.859000
PD16,118.174300,-73.976500,Top,-104.792000
R1,125.750000,-63.250000,Top,90.000000
R2,85.000000,-59.500000,Top,0.000000
R3,86.000000,-64.500000,Top,0.000000
R4,103.500000,-61.000000,Top,0.000000
R5,115.800000,-61.000000,Top,90.000000
R6,113.000000,-70.000000,Top,0.000000
R7,113.500000,-72.000000,Top,90.000000
R8,154.000000,-66.000000,Top,0.000000
R9,170.000000,-69.500000,Top,0.000000
R10,125.750000,-60.000000,Top,90.000000
R11,102.000000,-67.000000,Top,0.000000
R12,116.000000,-67.000000,Top,90.000000
R13,89.750000,-60.000000,Top,90.000000
RF1,72.888000,-58.875000,Top,90.000000
RF2,74.638000,-63.875000,Top,0.000000
RF3,82.112000,-62.125000,Top,90.000000
RF4,82.612000,-58.375000,Top,0.000000
RF5,62.388000,-59.775000,Top,90.000000
RF6,62.388000,-63.025000,Top,90.000000
RF7,69.862000,-64.775000,Top,0.000000
RF8,69.862000,-58.025000,Top,0.000000
RF9,137.888000,-58.875000,Top,90.000000
RF10,137.888000,-62.875000,Top,90.000000
RF11,145.362000,-63.875000,Top,0.000000
RF12,147.112000,-58.875000,Top,90.000000
RF13,150.138000,-58.025000,Top,0.000000
RF14,148.388000,-63.025000,Top,90.000000
RF15,158.112000,-64.025000,Top,0.000000
RF16,155.862000,-58.025000,Top,0.000000
U1,121.000000,-62.000000,Top,0.000000
U2,77.500000,-60.500000,Top,0.000000
U3,67.000000,-61.400000,Top,0.000000
U4,142.500000,-60.500000,Top,0.000000
U5,153.000000,-61.400000,Top,0.000000
U6,87.000000,-62.000000,Top,0.000000
U7,95.000000,-62.000000,Top,0.000000
U8,131.000000,-61.500000,Top,0.000000
U9,110.000000,-63.000000,Top,0.000000
U10,110.000000,-71.300000,Top,0.000000
U11,167.500000,-67.000000,Top,0.000000
