Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
U9,STM32C031C6T6,STMicroelectronics,STM32C031C6T6,C5456218,IR_Glasses:LQFP-48_7x7mm_P0.5mm,110.0,63.0,0.0,front
U1,TLC59283RGER,Texas Instruments,TLC59283RGER,C485815,IR_Glasses:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,121.0,62.0,0.0,front
U10,LSM6DS3TR-C,STMicroelectronics,LSM6DS3TR-C,C967633,IR_Glasses:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,110.0,71.3,0.0,front
U6,TLV9061IDBVR,Texas Instruments,TLV9061IDBVR,C398358,IR_Glasses:SOT-23-5,87.0,62.0,0.0,front
J1,2492111-5,TE Connectivity,2492111-5,,IR_Glasses:TE_2492111-5_1x05_P0.5mm_Horizontal,165.0,61.7,180.0,front
U11,"PESD3V3L2BT,215",Nexperia,"PESD3V3L2BT,215",C55440,IR_Glasses:SOT-23,167.0,67.0,0.0,front
D17,"PESD5V0S1BA,115",Nexperia,"PESD5V0S1BA,115",C19224,IR_Glasses:D_SOD-323,159.0,59.65,180.0,front
FB1,600R@100MHz 500mA,Murata,BLM18AG601SN1D,C19330,IR_Glasses:L_0603_1608Metric,89.0,67.0,0.0,front
R1,2.67k,Viking,ARG02FTC2671,C284464,IR_Glasses:R_0402_1005Metric,125.75,63.25,90.0,front
R2,10k,UNI-ROYAL,0402WGF1002TCE,C25744,IR_Glasses:R_0402_1005Metric,85.0,59.5,0.0,front
R3,10k,UNI-ROYAL,0402WGF1002TCE,C25744,IR_Glasses:R_0402_1005Metric,86.0,64.5,0.0,front
R4,10k,UNI-ROYAL,0402WGF1002TCE,C25744,IR_Glasses:R_0402_1005Metric,103.5,61.0,0.0,front
R5,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,115.8,61.0,90.0,front
