Designator,Value,Manufacturer,MPN,LCSC,Footprint,Qty_per_board,Net_qty_2_boards,Side,Engineering_revision,Domestic_live_stock,Stock_lookup_attempt_date,Platform_attrition_qty,Final_supply_qty,Factory_receipt_status,Supply_route,Source
U9,STM32C031C6T6,STMicroelectronics,STM32C031C6T6,C5456218,IR_Glasses:LQFP-48_7x7mm_P0.5mm,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C5456218.html
U1,TLC59283RGER,Texas Instruments,TLC59283RGER,C485815,IR_Glasses:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C485815.html
U10,LSM6DS3TR-C,STMicroelectronics,LSM6DS3TR-C,C967633,IR_Glasses:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C967633.html
U6,TLV9061IDBVR,Texas Instruments,TLV9061IDBVR,C398358,IR_Glasses:SOT-23-5,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C398358.html
J1,2492111-5,TE Connectivity,2492111-5,,IR_Glasses:TE_2492111-5_1x05_P0.5mm_Horizontal,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,Customer supplied,TE 2492111-5 customer-supplied connector
U11,"PESD3V3L2BT,215",Nexperia,"PESD3V3L2BT,215",C55440,IR_Glasses:SOT-23,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C55440.html
D17,"PESD5V0S1BA,115",Nexperia,"PESD5V0S1BA,115",C19224,IR_Glasses:D_SOD-323,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C19224.html
FB1,600R@100MHz 500mA,Murata,BLM18AG601SN1D,C19330,IR_Glasses:L_0603_1608Metric,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C19330.html
R1,2.67k,Viking,ARG02FTC2671,C284464,IR_Glasses:R_0402_1005Metric,1,2,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C284464.html
"R2,R3,R4,R10,R16",10k,UNI-ROYAL,0402WGF1002TCE,C25744,IR_Glasses:R_0402_1005Metric,5,10,F.Cu,EVT E3,UNCONFIRMED,2026-09-08,,,Pending,JLC domestic preferred; fixed MPN if unavailable,https://www.jlc-smt.com/lcsc/detail/C25744.html
