Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
U9,STM32C031C6T6,STMicroelectronics,STM32C031C6T6,C5456218,LQFP-48(7x7),110.0,63.0,0.0,front
U1,TLC59283RGER,Texas Instruments,TLC59283RGER,C485815,VQFN-24-EP(4x4),121.0,62.0,0.0,front
U10,LSM6DS3TR-C,STMicroelectronics,LSM6DS3TR-C,C967633,LGA-14(2.5x3),110.0,71.3,0.0,front
U6,TLV9061IDBVR,Texas Instruments,TLV9061IDBVR,C398358,SOT-23-5,87.0,62.0,0.0,front
J1,2492111-5,TE Connectivity,2492111-5,,FFC/FPC-5P-P0.5mm,165.0,61.7,180.0,front
U11,"PESD3V3L2BT,215",Nexperia,"PESD3V3L2BT,215",C55440,SOT-23,167.0,67.0,0.0,front
D17,"PESD5V0S1BA,115",Nexperia,"PESD5V0S1BA,115",C19224,SOD-323,159.0,59.65,180.0,front
FB1,600R@100MHz 500mA,Murata,BLM18AG601SN1D,C19330,0603,89.0,67.0,0.0,front
R1,2.67k,Viking,ARG02FTC2671,C284464,0402,125.75,63.25,90.0,front
R2,10k,UNI-ROYAL,0402WGF1002TCE,C25744,0402,85.0,59.5,0.0,front
R3,10k,UNI-ROYAL,0402WGF1002TCE,C25744,0402,86.0,64.5,0.0,front
R4,10k,UNI-ROYAL,0402WGF1002TCE,C25744,0402,103.5,61.0,0.0,front
R5,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,115.8,61.0,90.0,front
R6,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,0402,113.0,70.0,0.0,front
R7,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,0402,113.5,72.0,90.0,front
R8,22,UNI-ROYAL,0402WGF220JTCE,C25092,0402,114.4,69.0,90.0,front
R9,22,UNI-ROYAL,0402WGF220JTCE,C25092,0402,116.0,70.0,0.0,front
R10,10k,UNI-ROYAL,0402WGF1002TCE,C25744,0402,125.75,60.0,90.0,front
R11,100,UNI-ROYAL,0402WGF1000TCE,C25076,0402,102.0,67.0,0.0,front
R12,100,UNI-ROYAL,0402WGF1000TCE,C25076,0402,116.0,67.0,90.0,front
R13,47,UNI-ROYAL,0402WGF470JTCE,C25118,0402,89.75,60.0,90.0,front
U2,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,TSSOP-14,77.5,60.5,0.0,front
U3,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,TSSOP-14,67.0,61.4,0.0,front
PD1,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,98.7722,94.7937,69.734,front
D1,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,96.7988,99.1302,60.632,front
RF1,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,72.888,58.875,90.0,front
CF1,22p C0G,FH,0402CG220J500NT,C1555,0402,72.888,60.875,90.0,front
PD2,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,1206,86.2325,106.021,8.481,front
D2,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,1206,81.3078,106.6029,6.53,front
RF2,100k,UNI-ROYAL,0402WGF1003TCE,C25741,0402,74.638,63.875,0.0,front
