Ref,Val,Package,PosX,PosY,Rot,Side
C1,1u,0402,85.000000,-58.250000,0.000000,top
C2,100n,0402,121.250000,-58.562000,0.000000,top
C3,100n,0402,76.037500,-64.180000,-90.000000,top
C4,100n,0402,62.057500,-61.400000,180.000000,top
C5,100n,0402,136.837500,-60.020000,90.000000,top
C6,100n,0402,148.737500,-64.879999,-90.000000,top
C7,100n,0402,88.138000,-59.550000,0.000000,top
C8,100n,0402,97.862000,-58.475000,0.000000,top
C9,100n,0402,133.862000,-57.975000,0.000000,top
C10,100n,0402,112.750000,-68.913000,0.000000,top
C11,100n,0402,104.088000,-64.250000,90.000000,top
C12,100n,0402,112.412000,-72.050000,90.000000,top
C13,100n,0402,107.500000,-72.212000,90.000000,top
C14,100n,0402,170.500000,-68.050000,0.000000,top
C15,100n,0402,87.750000,-65.000000,90.000000,top
C16,100n,0402,119.250000,-58.562000,0.000000,top
C17,100n,0402,103.757500,-62.750000,180.000000,top
C18,1u,0402,116.000000,-58.250000,90.000000,top
C19,1u,0402,102.750000,-58.250000,90.000000,top
C20,1u,0402,114.750000,-72.000000,90.000000,top
C21,1u,0402,89.000000,-65.000000,90.000000,top
C22,1u,0402,68.000000,-65.250000,90.000000,top
C23,1u,0402,152.000000,-65.250000,90.000000,top
C24,1u,0402,110.800000,-68.800000,0.000000,top
C25,10u,0603,158.500000,-57.950000,0.000000,top
C26,10u,0603,125.250000,-66.000000,90.000000,top
C27,10u,0603,84.000000,-63.250000,90.000000,top
C28,47u 16V X5R,1210,122.000000,-67.300000,0.000000,top
C29,1n,0402,105.237500,-67.930000,-90.000000,top
C30,1n,0402,104.300000,-69.250000,-90.000000,top
C31,100n,0402,90.250000,-65.000000,90.000000,top
C32,100n,0402,104.237500,-66.230000,-90.000000,top
C33,1n,0402,54.600000,-67.800000,90.000000,top
C34,1n,0402,56.300000,-65.099999,0.000000,top
C35,100n,0402,55.000000,-63.800000,0.000000,top
C36,100n,0402,130.800000,-65.800000,90.000000,top
C37,1u,0402,159.600000,-64.500000,90.000000,top
C38,1n,0402,164.600000,-67.300000,90.000000,top
CF1,22p C0G,0402,72.888000,-60.875000,90.000000,top
CF2,22p C0G,0402,72.888000,-62.875000,90.000000,top
CF3,22p C0G,0402,82.112000,-60.125000,90.000000,top
CF4,22p C0G,0402,83.362000,-60.125000,90.000000,top
CF5,22p C0G,0402,64.138000,-58.025000,0.000000,top
CF6,22p C0G,0402,65.888000,-64.775000,0.000000,top
CF7,22p C0G,0402,71.612000,-63.025000,90.000000,top
CF8,22p C0G,0402,71.612000,-59.775000,90.000000,top
CF9,22p C0G,0402,137.888000,-60.875000,90.000000,top
CF10,22p C0G,0402,136.638000,-62.125000,90.000000,top
CF11,22p C0G,0402,147.112000,-62.125000,90.000000,top
CF12,22p C0G,0402,148.362000,-58.875000,90.000000,top
CF13,22p C0G,0402,148.388000,-61.025000,90.000000,top
CF14,22p C0G,0402,150.138000,-64.775000,0.000000,top
CF15,22p C0G,0402,154.112000,-64.775000,0.000000,top
CF16,22p C0G,0402,153.862000,-58.025000,0.000000,top
D1,IR11-21C/TR8,1206,96.798800,-99.130200,60.632000,top
D2,IR11-21C/TR8,1206,81.307800,-106.602900,6.530000,top
D3,IR11-21C/TR8,1206,60.769100,-105.557800,-11.779000,top
D4,IR11-21C/TR8,1206,48.490100,-93.975400,-74.093000,top
D5,IR11-21C/TR8,1206,46.576500,-73.926999,-102.150000,top
D6,IR11-21C/TR8,1206,62.905500,-66.298100,-174.743000,top
D7,IR11-21C/TR8,1206,84.912000,-66.631599,172.509000,top
D8,IR11-21C/TR8,1206,102.091500,-78.753400,87.410000,top
D9,IR11-21C/TR8,1206,123.253199,-99.216100,-63.186000,top
D10,IR11-21C/TR8,1206,138.692200,-106.602900,-6.530000,top
D11,IR11-21C/TR8,1206,159.230900,-105.557800,11.779000,top
D12,IR11-21C/TR8,1206,171.509900,-93.975400,74.093000,top
D13,IR11-21C/TR8,1206,173.423500,-73.926999,102.150000,top
D14,IR11-21C/TR8,1206,157.094499,-66.298100,174.743000,top
D15,IR11-21C/TR8,1206,135.070700,-66.578800,-173.002000,top
D16,IR11-21C/TR8,1206,117.930300,-78.688600,-87.240000,top
D17,"PESD5V0S1BA,115",SOD-323,159.000000,-59.650000,180.000000,top
D18,"PESD3V3U1UB,115",SOD-523,163.300000,-64.650000,180.000000,top
D19,"PESD3V3U1UB,115",SOD-523,53.660000,-57.965000,0.000000,top
D20,GREEN / STATUS,0603,59.000000,-57.900000,0.000000,top
FB1,600R@100MHz 500mA,0603,89.000000,-67.000000,0.000000,top
J1,2492111-5,FFC/FPC-5P-P0.5mm,165.000000,-61.700000,180.000000,top
PD1,PD15-21B/TR8,1206,98.772200,-94.793700,69.734000,top
PD2,PD15-21B/TR8,1206,86.232500,-106.021000,8.481000,top
PD3,PD15-21B/TR8,1206,65.591800,-106.450800,-7.387000,top
PD4,PD15-21B/TR8,1206,49.895200,-98.567800,-64.946000,top
PD5,PD15-21B/TR8,1206,45.894000,-78.579400,-88.524000,top
PD6,PD15-21B/TR8,1206,58.038200,-66.826300,-168.750000,top
PD7,PD15-21B/TR8,1206,80.031000,-66.001599,176.212000,top
PD8,PD15-21B/TR8,1206,101.832700,-74.066500,106.613000,top
PD9,PD15-21B/TR8,1206,121.206099,-94.791700,-70.355000,top
PD10,PD15-21B/TR8,1206,133.767499,-106.021000,-8.481000,top
PD11,PD15-21B/TR8,1206,154.408200,-106.450800,7.387000,top
PD12,PD15-21B/TR8,1206,170.104800,-98.567800,64.946000,top
PD13,PD15-21B/TR8,1206,174.106000,-78.579400,88.524000,top
PD14,PD15-21B/TR8,1206,161.961799,-66.826300,168.750000,top
PD15,PD15-21B/TR8,1206,139.994100,-65.978100,-174.859000,top
PD16,PD15-21B/TR8,1206,118.174300,-73.976500,-104.792000,top
R1,2.67k,0402,125.750000,-63.250000,90.000000,top
R2,10k,0402,85.000000,-59.500000,0.000000,top
R3,10k,0402,86.000000,-64.500000,0.000000,top
R4,10k,0402,103.500000,-61.000000,0.000000,top
R5,100k,0402,115.800000,-61.000000,90.000000,top
R6,4.7k,0402,113.000000,-70.000000,0.000000,top
R7,4.7k,0402,113.500000,-72.000000,90.000000,top
R8,22,0402,114.400000,-69.000000,90.000000,top
R9,22,0402,116.000000,-70.000000,0.000000,top
R10,10k,0402,125.750000,-60.000000,90.000000,top
R11,100,0402,102.000000,-67.000000,0.000000,top
R12,100,0402,116.000000,-67.000000,90.000000,top
R13,47,0402,89.750000,-60.000000,90.000000,top
R14,100,0402,102.800000,-68.000000,180.000000,top
R15,100k,0402,50.200000,-68.000000,90.000000,top
R16,10k,0402,49.200000,-68.400000,90.000000,top
R17,4.7k,0402,61.000000,-58.100000,90.000000,top
R18,19.1k 0.1%,0402,154.100000,-65.700000,0.000000,top
R19,10k 0.1%,0402,161.100000,-64.500000,0.000000,top
R20,6.2k,0402,165.500000,-64.500000,0.000000,top
RF1,100k,0402,72.888000,-58.875000,90.000000,top
RF2,100k,0402,74.638000,-63.875000,0.000000,top
RF3,100k,0402,82.112000,-62.125000,90.000000,top
RF4,100k,0402,82.612000,-58.375000,0.000000,top
RF5,100k,0402,62.388000,-59.775000,90.000000,top
RF6,100k,0402,62.388000,-63.025000,90.000000,top
RF7,100k,0402,69.862000,-64.775000,0.000000,top
RF8,100k,0402,69.862000,-58.025000,0.000000,top
RF9,100k,0402,137.888000,-58.875000,90.000000,top
RF10,100k,0402,137.888000,-62.875000,90.000000,top
RF11,100k,0402,145.362000,-63.875000,0.000000,top
RF12,100k,0402,147.112000,-58.875000,90.000000,top
RF13,100k,0402,150.138000,-58.025000,0.000000,top
RF14,100k,0402,148.388000,-63.025000,90.000000,top
RF15,100k,0402,158.112000,-64.025000,0.000000,top
RF16,100k,0402,155.862000,-58.025000,0.000000,top
U1,TLC59283RGER,VQFN-24-EP(4x4),121.000000,-62.000000,0.000000,top
U2,TLV9064IPWR,TSSOP-14,77.500000,-60.500000,0.000000,top
U3,TLV9064IPWR,TSSOP-14,67.000000,-61.400000,0.000000,top
U4,TLV9064IPWR,TSSOP-14,142.500000,-60.500000,0.000000,top
U5,TLV9064IPWR,TSSOP-14,153.000000,-61.400000,0.000000,top
U6,TLV9061IDBVR,SOT-23-5,87.000000,-62.000000,0.000000,top
U7,TMUX1308PWR,TSSOP-16,95.000000,-62.000000,0.000000,top
U8,TMUX1308PWR,TSSOP-16,131.000000,-61.500000,0.000000,top
U9,STM32C031C6T6,LQFP-48(7x7),110.000000,-63.000000,0.000000,top
U10,LSM6DS3TR-C,LGA-14(2.5x3),110.000000,-71.300000,0.000000,top
U11,"PESD3V3L2BT,215",SOT-23,167.000000,-67.000000,0.000000,top
U12,SN74LVC1G123DCTR,SSOP-8,52.400000,-66.200000,90.000000,top
U13,SN74LVC1G04DBVR,SOT-23-5,128.199999,-66.800000,0.000000,top
U14,TPS259470LRPWR,VQFN-10-HR(2x2),158.500000,-62.100000,0.000000,top
