Designator,Mid X,Mid Y,Layer,Rotation
C1,85.000000mm,-58.250000mm,top,0.000000
C2,121.300000mm,-58.650000mm,top,0.000000
C3,76.250000mm,-64.500000mm,top,90.000000
C4,67.500000mm,-65.400000mm,top,90.000000
C5,137.250000mm,-63.000000mm,top,90.000000
C6,147.250000mm,-64.150000mm,top,90.000000
C7,87.000000mm,-59.600000mm,top,0.000000
C8,90.950000mm,-58.800000mm,top,90.000000
C9,129.250000mm,-58.600000mm,top,90.000000
C10,103.650000mm,-60.200000mm,top,0.000000
C11,104.200000mm,-63.450000mm,top,90.000000
C12,112.800000mm,-68.950000mm,top,0.000000
C13,116.350000mm,-60.200000mm,top,0.000000
C14,103.800000mm,-58.900000mm,top,0.000000
C15,87.750000mm,-65.000000mm,top,90.000000
C16,107.000000mm,-72.500000mm,top,0.000000
C17,112.500000mm,-72.000000mm,top,90.000000
C18,117.750000mm,-61.750000mm,top,90.000000
C19,103.750000mm,-61.450000mm,top,0.000000
C20,113.000000mm,-70.350000mm,top,0.000000
C21,91.000000mm,-60.800000mm,top,90.000000
C22,117.550000mm,-58.600000mm,top,90.000000
C23,86.000000mm,-64.300000mm,top,0.000000
C25,116.250000mm,-64.500000mm,top,90.000000
C26,100.000000mm,-69.750000mm,top,90.000000
C27,84.000000mm,-63.250000mm,top,90.000000
C28,103.250000mm,-70.050000mm,top,0.000000
C29,104.200000mm,-65.599999mm,top,90.000000
C30,106.250000mm,-69.400000mm,top,90.000000
C31,92.000000mm,-66.750000mm,top,90.000000
C32,100.900000mm,-67.200000mm,top,0.000000
C33,126.450000mm,-68.000000mm,top,0.000000
C34,130.699999mm,-66.950000mm,top,0.000000
C35,127.050000mm,-59.750000mm,top,0.000000
C36,118.500000mm,-65.500000mm,top,0.000000
C37,148.450000mm,-65.250000mm,top,90.000000
C38,145.200000mm,-65.550000mm,top,90.000000
C40,114.800000mm,-69.850000mm,top,90.000000
C44,98.000000mm,-58.900000mm,top,90.000000
C46,98.050000mm,-60.900000mm,top,90.000000
C47,102.900000mm,-63.950000mm,top,90.000000
C48,152.550000mm,-65.300000mm,top,90.000000
C49,125.000000mm,-59.750000mm,top,0.000000
CF1,72.888000mm,-60.875000mm,top,90.000000
CF2,72.888000mm,-62.875000mm,top,90.000000
CF3,82.112000mm,-60.125000mm,top,90.000000
CF4,83.362000mm,-60.125000mm,top,90.000000
CF5,64.138000mm,-58.025000mm,top,0.000000
CF6,65.888000mm,-64.775000mm,top,0.000000
CF7,71.612000mm,-63.025000mm,top,90.000000
CF8,71.612000mm,-59.775000mm,top,90.000000
CF9,142.638000mm,-64.250000mm,top,90.000000
CF10,132.388000mm,-66.250000mm,top,90.000000
CF11,147.112000mm,-62.125000mm,top,90.000000
CF12,148.362000mm,-58.875000mm,top,90.000000
CF13,148.388000mm,-61.025000mm,top,90.000000
CF14,150.138000mm,-64.775000mm,top,0.000000
CF15,154.112000mm,-64.775000mm,top,0.000000
CF16,153.862000mm,-58.025000mm,top,0.000000
D1,96.798800mm,-99.130200mm,top,60.632000
D2,81.307800mm,-106.602900mm,top,6.530000
D3,60.769100mm,-105.557800mm,top,-11.779000
D4,48.490100mm,-93.975400mm,top,-74.093000
D5,46.576500mm,-73.926999mm,top,-102.150000
D6,62.905500mm,-66.298100mm,top,-174.743000
D7,84.912000mm,-66.631599mm,top,172.509000
D8,102.091500mm,-78.753400mm,top,87.410000
D9,123.253199mm,-99.216100mm,top,-63.186000
D10,138.692200mm,-106.602900mm,top,-6.530000
D11,159.230900mm,-105.557800mm,top,11.779000
D12,171.509900mm,-93.975400mm,top,74.093000
D13,173.423500mm,-73.926999mm,top,102.150000
D14,157.094499mm,-66.298100mm,top,174.743000
D15,135.070700mm,-66.578800mm,top,-173.002000
D16,117.930300mm,-78.688600mm,top,-87.240000
D17,158.800000mm,-59.650000mm,top,180.000000
D18,163.300000mm,-64.650000mm,top,180.000000
D19,53.660000mm,-57.965000mm,top,0.000000
D20,59.000000mm,-57.900000mm,top,0.000000
FB1,89.000000mm,-67.000000mm,top,0.000000
J1,165.000000mm,-61.700000mm,top,180.000000
PD1,98.772200mm,-94.793700mm,top,69.734000
PD2,86.232500mm,-106.021000mm,top,8.481000
PD3,65.591800mm,-106.450800mm,top,-7.387000
PD4,49.895200mm,-98.567800mm,top,-64.946000
PD5,45.894000mm,-78.579400mm,top,-88.524000
PD6,58.038200mm,-66.826300mm,top,-168.750000
PD7,80.031000mm,-66.001599mm,top,176.212000
PD8,101.832700mm,-74.066500mm,top,106.613000
