LED,PD,LED_center_to_hole_mm,LED_pad_to_hole_mm,LED_pad_to_outer_mm,LED_rotation_deg,PD_center_to_hole_mm,PD_pad_to_hole_mm,PD_pad_to_outer_mm,PD_rotation_deg,center_spacing_mm
D1,PD1,1.15,0.5255,1.0741,60.632,1.25,0.5,0.9546,69.734,4.7644
D2,PD2,1.15,0.5,1.1933,6.53,1.25,0.5,0.9288,8.481,4.959
D3,PD3,1.15,0.5,1.1972,-11.779,1.25,0.5,0.9981,-7.387,4.9047
D4,PD4,1.1501,0.5,1.1974,-74.093,1.25,0.5,0.9158,-64.946,4.8025
D5,PD5,1.1501,0.5001,1.2129,-102.15,1.25,0.5,0.8881,-88.524,4.7022
D6,PD6,1.15,0.5,8.4934,-174.743,1.25,0.5165,5.8529,-168.75,4.8959
D7,PD7,1.15,0.5,8.7641,172.509,1.25,0.5,8.1328,176.212,4.9215
D8,PD8,1.1498,0.5342,1.1206,87.41,1.25,0.5013,0.7793,106.613,4.694
D9,PD9,1.15,0.5033,1.0678,-63.186,1.2497,0.5335,0.9144,-70.355,4.875
D10,PD10,1.15,0.5,1.1915,-6.53,1.25,0.5,0.9279,-8.481,4.959
D11,PD11,1.15,0.5,1.1976,11.779,1.25,0.5,1.0,7.387,4.9047
D12,PD12,1.1501,0.5,1.1974,74.093,1.25,0.5,0.9158,64.946,4.8025
D13,PD13,1.1501,0.5001,1.2131,102.15,1.25,0.5,0.8881,88.524,4.7022
D14,PD14,1.15,0.5,8.4949,174.743,1.25,0.5165,5.8528,168.75,4.8959
D15,PD15,1.15,0.5,8.726,-173.002,1.2501,0.5,8.0694,-174.859,4.9599
D16,PD16,1.15,0.5,1.1398,-87.24,1.25,0.5363,0.8363,-104.792,4.7184
