Designator,Mid X,Mid Y,Layer,Rotation
R5,115.800000,-61.000000,Top,90.000000
CF10,132.388000,-66.250000,Top,90.000000
CF12,148.362000,-58.875000,Top,90.000000
PD10,133.767499,-106.021000,Top,-8.481000
R2,85.000000,-59.500000,Top,0.000000
U6,87.000000,-62.000000,Top,0.000000
U5,153.000000,-61.400000,Top,0.000000
D17,158.800000,-59.650000,Top,180.000000
PD7,80.031000,-66.001599,Top,176.212000
C16,119.250000,-58.462000,Top,0.000000
U11,167.000000,-67.000000,Top,0.000000
C17,104.257500,-68.250000,Top,90.000000
CF14,150.138000,-64.775000,Top,0.000000
D13,173.423500,-73.926999,Top,102.150000
C28,122.000000,-67.300000,Top,0.000000
R18,98.000000,-64.500000,Top,90.000000
D2,81.307800,-106.602900,Top,6.530000
C27,84.000000,-63.250000,Top,90.000000
C36,130.800000,-67.000000,Top,0.000000
R20,137.000000,-62.600000,Top,0.000000
PD9,121.206099,-94.791700,Top,-70.355000
RF13,150.138000,-58.025000,Top,0.000000
C24,102.800000,-69.000000,Top,0.000000
CF7,71.612000,-63.025000,Top,90.000000
PD14,161.961799,-66.826300,Top,168.750000
U10,110.000000,-71.300000,Top,0.000000
D11,159.230900,-105.557800,Top,11.779000
CF6,65.888000,-64.775000,Top,0.000000
CF5,64.138000,-58.025000,Top,0.000000
R24,125.600000,-67.250000,Top,0.000000
PD1,98.772200,-94.793700,Top,69.734000
U19,95.000000,-67.300000,Top,0.000000
C22,68.000000,-65.250000,Top,90.000000
C38,137.000000,-58.200000,Top,0.000000
R6,107.250000,-69.250000,Top,0.000000
C4,62.057500,-61.400000,Top,180.000000
R27,104.000000,-70.000000,Top,0.000000
PD12,170.104800,-98.567800,Top,64.946000
D20,59.000000,-57.900000,Top,0.000000
C39,117.150000,-69.500000,Top,90.000000
D8,102.091500,-78.753400,Top,87.410000
RF12,147.112000,-58.875000,Top,90.000000
U1,121.000000,-62.000000,Top,0.000000
C19,98.750000,-67.000000,Top,0.000000
C15,87.750000,-65.000000,Top,90.000000
RF4,82.612000,-58.375000,Top,0.000000
C14,170.500000,-68.050000,Top,0.000000
U17,125.600000,-61.200000,Top,90.000000
PD5,45.894000,-78.579400,Top,-88.524000
C8,91.000000,-66.500000,Top,90.000000
D9,123.253199,-99.216100,Top,-63.186000
PD4,49.895200,-98.567800,Top,-64.946000
R22,100.750000,-67.250000,Top,0.000000
R17,61.500000,-58.000000,Top,0.000000
U15,114.500000,-70.700000,Top,0.000000
RF3,82.112000,-62.125000,Top,90.000000
RF1,72.888000,-58.875000,Top,90.000000
PD3,65.591800,-106.450800,Top,-7.387000
J1,165.000000,-61.700000,Top,180.000000
RF2,74.638000,-63.875000,Top,0.000000
C5,143.837500,-64.250000,Top,90.000000
RF7,69.862000,-64.775000,Top,0.000000
D5,46.576500,-73.926999,Top,-102.150000
U8,132.750000,-61.400000,Top,90.000000
U7,94.500000,-61.600000,Top,90.000000
R23,125.600000,-66.250000,Top,0.000000
PD11,154.408200,-106.450800,Top,7.387000
C3,76.250000,-64.250000,Top,-90.000000
C29,122.150000,-69.750000,Top,0.000000
C1,85.000000,-58.250000,Top,0.000000
RF10,138.888000,-64.000000,Top,0.000000
C21,88.750000,-65.000000,Top,90.000000
D6,62.905500,-66.298100,Top,-174.743000
C35,55.250000,-64.000000,Top,0.000000
CF1,72.888000,-60.875000,Top,90.000000
CF9,142.638000,-64.250000,Top,90.000000
PD16,118.174300,-73.976500,Top,-104.792000
C40,111.200000,-69.250000,Top,0.000000
C31,92.000000,-66.500000,Top,90.000000
R1,125.750000,-68.250000,Top,0.000000
CF13,148.388000,-61.025000,Top,90.000000
C11,104.338000,-64.250000,Top,90.000000
R26,120.500000,-70.000000,Top,90.000000
CF4,83.362000,-60.125000,Top,90.000000
C18,116.000000,-58.250000,Top,90.000000
C33,54.600000,-67.800000,Top,90.000000
U2,77.500000,-60.500000,Top,0.000000
D12,171.509900,-93.975400,Top,74.093000
CF3,82.112000,-60.125000,Top,90.000000
CF8,71.612000,-59.775000,Top,90.000000
R10,130.250000,-66.000000,Top,0.000000
C32,104.237500,-66.230000,Top,-90.000000
C37,137.000000,-63.600000,Top,0.000000
R28,128.900000,-60.400000,Top,0.000000
PD2,86.232500,-106.021000,Top,8.481000
R15,50.200000,-68.000000,Top,90.000000
R7,106.500000,-72.000000,Top,90.000000
R13,88.250000,-58.500000,Top,0.000000
U16,102.000000,-61.200000,Top,90.000000
D4,48.490100,-93.975400,Top,-74.093000
D1,96.798800,-99.130200,Top,60.632000
C25,147.500000,-65.250000,Top,0.000000
D7,84.912000,-66.631599,Top,172.509000
C7,88.138000,-59.550000,Top,0.000000
D19,53.660000,-57.965000,Top,0.000000
PD8,101.832700,-74.066500,Top,106.613000
U12,52.400000,-66.200000,Top,90.000000
D18,163.300000,-64.650000,Top,180.000000
C9,127.250000,-66.250000,Top,90.000000
D15,135.070700,-66.578800,Top,-173.002000
R21,102.000000,-66.250000,Top,0.000000
PD15,139.994100,-65.978100,Top,-174.859000
C13,102.750000,-71.250000,Top,0.000000
C26,128.500000,-67.000000,Top,90.000000
D16,117.930300,-78.688600,Top,-87.240000
C46,100.500000,-65.750000,Top,90.000000
C23,152.000000,-65.250000,Top,90.000000
U14,137.000000,-60.500000,Top,0.000000
R25,119.400000,-70.000000,Top,90.000000
C20,106.000000,-70.500000,Top,0.000000
D3,60.769100,-105.557800,Top,-11.779000
R19,91.200000,-64.600000,Top,90.000000
D14,157.094499,-66.298100,Top,174.743000
C48,159.800000,-64.300000,Top,90.000000
R12,107.650000,-70.750000,Top,90.000000
C10,105.500000,-72.000000,Top,90.000000
CF11,147.112000,-62.125000,Top,90.000000
C34,56.750000,-64.500000,Top,90.000000
R16,49.200000,-68.400000,Top,90.000000
C44,102.000000,-65.250000,Top,0.000000
PD13,174.106000,-78.579400,Top,88.524000
RF14,148.388000,-63.025000,Top,90.000000
R3,86.000000,-64.500000,Top,0.000000
U4,142.500000,-60.500000,Top,0.000000
RF9,140.888000,-64.000000,Top,0.000000
R11,117.000000,-64.250000,Top,0.000000
RF5,62.388000,-59.775000,Top,90.000000
CF15,154.112000,-64.775000,Top,0.000000
R14,102.800000,-68.000000,Top,180.000000
R9,116.250000,-63.250000,Top,0.000000
R4,99.000000,-66.000000,Top,0.000000
C2,117.400000,-60.100000,Top,180.000000
C43,118.250000,-69.750000,Top,90.000000
FB1,89.000000,-67.000000,Top,0.000000
PD6,58.038200,-66.826300,Top,-168.750000
RF8,69.862000,-58.025000,Top,0.000000
D10,138.692200,-106.602900,Top,-6.530000
U3,67.000000,-61.400000,Top,0.000000
U9,110.000000,-63.000000,Top,0.000000
RF16,155.862000,-58.025000,Top,0.000000
R29,154.100000,-65.800000,Top,0.000000
C6,149.987500,-65.750000,Top,0.000000
U13,117.500000,-66.600000,Top,0.000000
C41,109.200000,-69.250000,Top,0.000000
CF16,153.862000,-58.025000,Top,0.000000
R8,116.900000,-61.750000,Top,90.000000
C12,104.412000,-72.000000,Top,90.000000
C42,117.650000,-71.250000,Top,0.000000
C30,107.650000,-72.750000,Top,90.000000
C49,97.700000,-68.400000,Top,-90.000000
RF6,62.388000,-63.025000,Top,90.000000
RF11,145.362000,-63.875000,Top,0.000000
CF2,72.888000,-62.875000,Top,90.000000
C45,123.200000,-58.500000,Top,90.000000
U18,158.500000,-62.100000,Top,0.000000
C47,125.600000,-65.250000,Top,0.000000
RF15,158.112000,-64.250000,Top,0.000000
