Reference,X_mm,Y_mm,Rotation_deg,Pad1_net,Pad2_net
D1,96.7988,99.1302,60.632,3V3,LED_K1
PD1,98.7722,94.7937,69.734,GND,PD_IN1
D2,81.3078,106.6029,6.53,3V3,LED_K2
PD2,86.2325,106.021,8.481,GND,PD_IN2
D3,60.7691,105.5578,-11.779,3V3,LED_K3
PD3,65.5918,106.4508,-7.387,GND,PD_IN3
D4,48.4901,93.9754,-74.093,3V3,LED_K4
PD4,49.8952,98.5678,-64.946,GND,PD_IN4
D5,46.5765,73.926999,-102.15,3V3,LED_K5
PD5,45.894,78.5794,-88.524,GND,PD_IN5
D6,62.9055,66.2981,-174.743,3V3,LED_K6
PD6,58.0382,66.8263,-168.75,GND,PD_IN6
D7,84.912,66.631599,172.509,3V3,LED_K7
PD7,80.031,66.001599,176.212,GND,PD_IN7
D8,102.0915,78.7534,87.41,3V3,LED_K8
PD8,101.8327,74.0665,106.613,GND,PD_IN8
D9,123.253199,99.2161,-63.186,3V3,LED_K9
PD9,121.206099,94.7917,-70.355,GND,PD_IN9
D10,138.6922,106.6029,-6.53,3V3,LED_K10
PD10,133.767499,106.021,-8.481,GND,PD_IN10
D11,159.2309,105.5578,11.779,3V3,LED_K11
PD11,154.4082,106.4508,7.387,GND,PD_IN11
D12,171.5099,93.9754,74.093,3V3,LED_K12
PD12,170.1048,98.5678,64.946,GND,PD_IN12
D13,173.4235,73.926999,102.15,3V3,LED_K13
PD13,174.106,78.5794,88.524,GND,PD_IN13
D14,157.094499,66.2981,174.743,3V3,LED_K14
PD14,161.961799,66.8263,168.75,GND,PD_IN14
D15,135.0707,66.5788,-173.002,3V3,LED_K15
PD15,139.9941,65.9781,-174.859,GND,PD_IN15
D16,117.9303,78.6886,-87.24,3V3,LED_K16
PD16,118.1743,73.9765,-104.792,GND,PD_IN16
