Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
R5,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,115.8,61,90,front
CF10,22p C0G,FH,0402CG220J500NT,C1555,C:0402,132.388,66.25,90,front
CF12,22p C0G,FH,0402CG220J500NT,C1555,C:0402,148.362,58.875,90,front
PD10,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,133.767499,106.021,-8.481,front
R2,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,85,59.5,0,front
U6,TLV9061IDBVR,Texas Instruments,TLV9061IDBVR,C398358,IC:SOT-23-5,87,62,0,front
U5,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,IC:TSSOP-14,153,61.4,0,front
D17,"PESD5V0S1BA,115",Nexperia,"PESD5V0S1BA,115",C19224,D:SOD-323,158.8,59.65,180,front
PD7,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,80.031,66.001599,176.212,front
C16,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,119.25,58.462,0,front
U11,"PESD3V3L2BT,215",Nexperia,"PESD3V3L2BT,215",C55440,IC:SOT-23,167,67,0,front
C17,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,104.2575,68.25,90,front
CF14,22p C0G,FH,0402CG220J500NT,C1555,C:0402,150.138,64.775,0,front
D13,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,173.4235,73.926999,102.15,front
C28,47u 16V X5R,YAGEO,CC1210KKX5R7BB476,C596320,C:1210,122,67.3,0,front
R18,200,UNI-ROYAL,0402WGF2000TCE,C25087,R:0402,98,64.5,90,front
D2,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,81.3078,106.6029,6.53,front
C27,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,C:0603,84,63.25,90,front
C36,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,130.8,67,0,front
R20,6.2k,UNI-ROYAL,0402WGF6201TCE,C25915,R:0402,137,62.6,0,front
PD9,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,121.206099,94.7917,-70.355,front
RF13,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,150.138,58.025,0,front
C24,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,102.8,69,0,front
CF7,22p C0G,FH,0402CG220J500NT,C1555,C:0402,71.612,63.025,90,front
PD14,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,161.961799,66.8263,168.75,front
U10,LSM6DS3TR-C,STMicroelectronics,LSM6DS3TR-C,C967633,IC:LGA-14,110,71.3,0,front
D11,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,159.2309,105.5578,11.779,front
CF6,22p C0G,FH,0402CG220J500NT,C1555,C:0402,65.888,64.775,0,front
CF5,22p C0G,FH,0402CG220J500NT,C1555,C:0402,64.138,58.025,0,front
PD1,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,98.7722,94.7937,69.734,front
U19,TPS3702CX33DDCR,Texas Instruments,TPS3702CX33DDCR,C2068031,IC:TPS3702_DDC0006,95,67.3,0,front
C22,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,68,65.25,90,front
C38,22n X7R,Samsung Electro-Mechanics,CL05B223KB5VPNC,C307335,C:0402,137,58.2,0,front
R6,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,R:0402,113.15,69,0,front
C4,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,62.0575,61.4,180,front
R27,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,104,70,0,front
PD12,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,170.1048,98.5678,64.946,front
D20,GREEN / STATUS,Lite-On,LTST-C190KGKT,C125094,LED:0603,59,57.9,0,front
D8,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,102.0915,78.7534,87.41,front
RF12,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,147.112,58.875,90,front
U1,TLC59283RGER,Texas Instruments,TLC59283RGER,C485815,IC:VQFN-24,121,62,0,front
C19,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,98.75,67,0,front
C15,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,87.75,65,90,front
RF4,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,82.612,58.375,0,front
C14,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,170.5,68.05,0,front
PD5,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,45.894,78.5794,-88.524,front
C8,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,91,66.5,90,front
D9,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,123.253199,99.2161,-63.186,front
PD4,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,49.8952,98.5678,-64.946,front
R17,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,R:0402,61.5,58,0,front
RF3,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,82.112,62.125,90,front
RF1,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,72.888,58.875,90,front
PD3,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,65.5918,106.4508,-7.387,front
J1,0.5K-AS-5PWB-RW,GUOCONN,0.5K-AS-5PWB-RW,C51901197,J:GUOCONN_0.5K-AS-5PWB-RW,165,61.7,180,front
RF2,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,74.638,63.875,0,front
C5,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,143.8375,64.25,90,front
RF7,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,69.862,64.775,0,front
D5,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,46.5765,73.926999,-102.15,front
U8,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,IC:TSSOP-16,132.75,61.4,90,front
U7,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,IC:TSSOP-16,94.5,61.6,90,front
PD11,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,154.4082,106.4508,7.387,front
C3,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,76.25,64.25,-90,front
C29,330p C0G,Murata,GRM1555C1H331JA01D,C76965,C:0402,103.65,65.3,180,front
C1,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,85,58.25,0,front
RF10,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,138.888,64,0,front
C21,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,88.75,65,90,front
D6,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,62.9055,66.2981,-174.743,front
C35,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,55.25,64,0,front
CF1,22p C0G,FH,0402CG220J500NT,C1555,C:0402,72.888,60.875,90,front
CF9,22p C0G,FH,0402CG220J500NT,C1555,C:0402,142.638,64.25,90,front
PD16,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,118.1743,73.9765,-104.792,front
C40,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,C:0603,113.8,71.8,90,front
C31,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,92,66.5,90,front
R1,2.67k,Viking,ARG02FTC2671,C284464,R:0402,125.75,68.25,0,front
CF13,22p C0G,FH,0402CG220J500NT,C1555,C:0402,148.388,61.025,90,front
C11,10n X7R,Samsung Electro-Mechanics,CL05B103KB5NNNC,C15195,C:0402,104.338,63.7,90,front
CF4,22p C0G,FH,0402CG220J500NT,C1555,C:0402,83.362,60.125,90,front
