Comment,Designator,Footprint,LCSC Part #
0402WGF1003TCE,"R5,RF13,RF12,RF4,RF3,RF1,RF2,RF7,RF10,R15,RF14,RF9,RF5,RF8,RF16,RF6,RF11,RF15",R:0402,C25741
0402CG220J500NT,"CF10,CF12,CF14,CF7,CF6,CF5,CF1,CF9,CF13,CF4,CF3,CF8,CF11,CF15,CF16,CF2",C:0402,C1555
PD15-21B/TR8,"PD10,PD7,PD9,PD14,PD1,PD12,PD5,PD4,PD3,PD11,PD16,PD2,PD8,PD15,PD13,PD6",PD:1206,C2921391
0402WGF1002TCE,"R2,R27,R10,R28,R19,R16,R3,R4",R:0402,C25744
TLV9061IDBVR,U6,IC:SOT-23-5,C398358
TLV9064IPWR,"U5,U2,U4,U3",IC:TSSOP-14,C779410
"PESD5V0S1BA,115",D17,D:SOD-323,C19224
CL05B104KO5NNNC,"C16,C17,C36,C4,C15,C14,C8,C5,C3,C35,C31,C32,C7,C9,C13,C48,C10,C44,C2,C6,C12,C49,C45",C:0402,C1525
"PESD3V3L2BT,215",U11,IC:SOT-23,C55440
IR11-21C/TR8,"D13,D2,D11,D8,D9,D5,D6,D12,D4,D1,D7,D15,D16,D3,D14,D10",IR:1206,C19269752
CC1210KKX5R7BB476,C28,C:1210,C596320
0402WGF2000TCE,R18,R:0402,C25087
CL10A106KP8NNNC,"C27,C40,C25,C26",C:0603,C19702
0402WGF6201TCE,R20,R:0402,C25915
TCC0402X7R105K160AT,"C24,C22,C19,C1,C21,C18,C37,C46,C23,C20,C47",C:0402,C49210445
LSM6DS3TR-C,U10,IC:LGA-14,C967633
TPS3702CX33DDCR,U19,IC:TPS3702_DDC0006,C2068031
CL05B223KB5VPNC,C38,C:0402,C307335
0402WGF4701TCE,"R6,R17,R7",R:0402,C25900
LTST-C190KGKT,D20,LED:0603,C125094
TLC59283RGER,U1,IC:VQFN-24,C485815
0.5K-AS-5PWB-RW,J1,J:GUOCONN_0.5K-AS-5PWB-RW,C51901197
TMUX1308PWR,"U8,U7",IC:TSSOP-16,C970231
GRM1555C1H331JA01D,"C29,C30",C:0402,C76965
ARG02FTC2671,R1,R:0402,C284464
CL05B103KB5NNNC,C11,C:0402,C15195
0402CG102J500NT,"C33,C34",C:0402,C53547
0402WGF470JTCE,R13,R:0402,C25118
TLV9062IDGKR,U16,IC:VSSOP-8_3x3mm_P0.65mm,C398356
"PESD3V3U1UB,115","D19,D18",D:SOD-523,C2443469
SN74LVC1G123DCTR,U12,IC:SSOP-8,C123302
TPS259470ARPWR,U14,IC:VQFN-10-HR,C3662799
RC0402FR-07100RL,"R12,R11,R14",R:0402,C106232
0402WGF220JTCE,"R9,R8",R:0402,C25092
BLM18AG601SN1D,FB1,L:0603,C19330
STM32F302CCT6,U9,IC:LQFP-48,C262946
0402WGF1103TCE,R29,R:0402,C25745
SN74LVC1G04DBVR,U13,IC:SOT-23-5,C7827
TPS2553DRVR,U18,IC:TPS2553_DRV0006,C138719
