Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
C1,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C10,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C11,10n X7R,C:0402,Samsung Electro-Mechanics,CL05B103KB5NNNC,C15195,1,CAP CER 10nF 50V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C15195.html
C12,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C13,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C14,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C15,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C16,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C17,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C18,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C19,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C2,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C20,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C21,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C22,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C23,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C25,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1,CAP CER 10uF 10V X5R 0603; ±10%,https://www.lcsc.com/product-detail/C19702.html
C26,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1,CAP CER 10uF 10V X5R 0603; ±10%,https://www.lcsc.com/product-detail/C19702.html
C27,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1,CAP CER 10uF 10V X5R 0603; ±10%,https://www.lcsc.com/product-detail/C19702.html
C28,47u 16V X5R,C:1210,YAGEO,CC1210KKX5R7BB476,C596320,1,CAP CER 47uF 16V X5R 1210; ±10%,https://www.lcsc.com/product-detail/C596320.html
C29,330p C0G,C:0402,Murata,GRM1555C1H331JA01D,C76965,1,CAP CER 330pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C76965.html
C3,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C30,330p C0G,C:0402,Murata,GRM1555C1H331JA01D,C76965,1,CAP CER 330pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C76965.html
C31,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C32,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C33,1n,C:0402,FH,0402CG102J500NT,C53547,1,CAP CER 1nF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C53547.html
C34,1n,C:0402,FH,0402CG102J500NT,C53547,1,CAP CER 1nF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C53547.html
C35,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C36,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C37,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C38,22n X7R,C:0402,Samsung Electro-Mechanics,CL05B223KB5VPNC,C307335,1,CAP CER 22nF 50V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C307335.html
C4,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C40,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1,CAP CER 10uF 10V X5R 0603; ±10%,https://www.lcsc.com/product-detail/C19702.html
C44,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C46,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C47,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C48,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C49,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C5,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
