Reference,Pin,E6,E7,Change
C1,1,/VREF_DIV,/VREF_DIV,unchanged
C1,2,GND,GND,unchanged
C10,1,3V3,3V3,unchanged
C10,2,GND,GND,unchanged
C11,1,3V3,3V3,unchanged
C11,2,GND,GND,unchanged
C12,1,3V3,3V3,unchanged
C12,2,GND,GND,unchanged
C13,1,3V3,3V3,unchanged
C13,2,GND,GND,unchanged
C14,1,3V3,3V3,unchanged
C14,2,GND,GND,unchanged
C15,1,3V3_A,3V3_A,unchanged
C15,2,GND,GND,unchanged
C16,1,3V3,3V3,unchanged
C16,2,GND,GND,unchanged
C17,1,3V3,3V3,unchanged
C17,2,GND,GND,unchanged
C18,1,3V3,3V3,unchanged
C18,2,GND,GND,unchanged
C19,1,3V3,3V3,unchanged
C19,2,GND,GND,unchanged
C2,1,3V3,3V3,unchanged
C2,2,GND,GND,unchanged
C20,1,3V3,3V3,unchanged
C20,2,GND,GND,unchanged
C21,1,3V3_A,3V3_A,unchanged
C21,2,GND,GND,unchanged
C22,1,3V3_A,3V3_A,unchanged
C22,2,GND,GND,unchanged
C23,1,3V3_A,3V3_A,unchanged
C23,2,GND,GND,unchanged
C24,1,3V3,,removed
C24,2,GND,,removed
C25,1,3V3,3V3,unchanged
C25,2,GND,GND,unchanged
C26,1,3V3,3V3,unchanged
C26,2,GND,GND,unchanged
C27,1,3V3_A,3V3_A,unchanged
C27,2,GND,GND,unchanged
C28,1,3V3,3V3,unchanged
C28,2,GND,GND,unchanged
C29,1,/ADC_A,/ADC_A,unchanged
C29,2,GND,GND,unchanged
C3,1,3V3_A,3V3_A,unchanged
C3,2,GND,GND,unchanged
C30,1,/ADC_B,/ADC_B,unchanged
C30,2,GND,GND,unchanged
C31,1,VREF_1V65,VREF_1V65,unchanged
C31,2,GND,GND,unchanged
C32,1,/NRST,/NRST,unchanged
C32,2,GND,GND,unchanged
C33,1,/PULSE_C,/PULSE_C,unchanged
C33,2,/PULSE_RC,/PULSE_RC,unchanged
C34,1,/PULSE_C,/PULSE_C,unchanged
C34,2,/PULSE_RC,/PULSE_RC,unchanged
C35,1,3V3,3V3,unchanged
C35,2,GND,GND,unchanged
C36,1,3V3,3V3,unchanged
C36,2,GND,GND,unchanged
C37,1,VIN_3V3,VIN_3V3,unchanged
C37,2,GND,GND,unchanged
C38,1,/INRUSH_RC,/INRUSH_RC,unchanged
C38,2,GND,GND,unchanged
C4,1,3V3_A,3V3_A,unchanged
C4,2,GND,GND,unchanged
C40,1,3V3,3V3,unchanged
C40,2,GND,GND,unchanged
C44,1,3V3_A,3V3_A,unchanged
C44,2,GND,GND,unchanged
C45,1,3V3,,removed
C45,2,GND,,removed
C46,1,3V3_A,3V3_A,unchanged
C46,2,GND,GND,unchanged
C47,1,3V3,3V3,unchanged
C47,2,GND,GND,unchanged
C48,1,VIN_HOST,VIN_HOST,unchanged
C48,2,GND,GND,unchanged
C49,1,VIN_3V3,VIN_3V3,unchanged
C49,2,GND,GND,unchanged
C5,1,3V3_A,3V3_A,unchanged
C5,2,GND,GND,unchanged
C6,1,3V3_A,3V3_A,unchanged
