Reference,E6_X,E6_Y,E6_Angle,E6_Layer,E7_X,E7_Y,E7_Angle,E7_Layer,Status
C1,85.0,58.25,0.0,F.Cu,85.0,58.25,0.0,F.Cu,retained
C10,103.65,59.5,0.0,F.Cu,103.65,60.2,0.0,F.Cu,retained
C11,104.338,63.7,90.0,F.Cu,104.2,63.45,90.0,F.Cu,retained
C12,104.412,72.0,90.0,F.Cu,112.8,68.95,0.0,F.Cu,retained
C13,102.75,71.25,0.0,F.Cu,116.35,60.2,0.0,F.Cu,retained
C14,170.5,68.05,0.0,F.Cu,103.8,58.9,0.0,F.Cu,retained
C15,87.75,65.0,90.0,F.Cu,87.75,65.0,90.0,F.Cu,retained
C16,119.25,58.462,0.0,F.Cu,107.0,72.5,0.0,F.Cu,retained
C17,104.2575,68.25,90.0,F.Cu,112.5,72.0,90.0,F.Cu,retained
C18,116.0,58.25,90.0,F.Cu,117.75,61.75,90.0,F.Cu,retained
C19,98.75,67.0,0.0,F.Cu,103.75,61.45,0.0,F.Cu,retained
C2,117.4,60.1,180.0,F.Cu,121.3,58.65,0.0,F.Cu,retained
C20,106.0,70.5,0.0,F.Cu,113.0,70.35,0.0,F.Cu,retained
C21,88.75,65.0,90.0,F.Cu,91.0,60.8,90.0,F.Cu,retained
C22,68.0,65.25,90.0,F.Cu,117.55,58.6,90.0,F.Cu,retained
C23,152.0,65.25,90.0,F.Cu,86.0,64.3,0.0,F.Cu,retained
C24,102.8,69.0,0.0,F.Cu,,,,,removed
C25,147.5,65.25,0.0,F.Cu,116.25,64.5,90.0,F.Cu,retained
C26,128.5,67.0,90.0,F.Cu,100.0,69.75,90.0,F.Cu,retained
C27,84.0,63.25,90.0,F.Cu,84.0,63.25,90.0,F.Cu,retained
C28,122.0,67.3,0.0,F.Cu,103.25,70.05,0.0,F.Cu,retained
C29,103.65,65.3,180.0,F.Cu,104.2,65.599999,90.0,F.Cu,retained
C3,76.25,64.25,-90.0,F.Cu,76.25,64.5,90.0,F.Cu,retained
C30,107.3,69.0,0.0,F.Cu,106.25,69.4,90.0,F.Cu,retained
C31,92.0,66.5,90.0,F.Cu,92.0,66.75,90.0,F.Cu,retained
C32,100.9,67.2,0.0,F.Cu,100.9,67.2,0.0,F.Cu,retained
C33,54.6,67.8,90.0,F.Cu,126.45,68.0,0.0,F.Cu,retained
C34,56.75,64.5,90.0,F.Cu,130.699999,66.95,0.0,F.Cu,retained
C35,55.25,64.0,0.0,F.Cu,127.05,59.75,0.0,F.Cu,retained
C36,130.8,67.0,0.0,F.Cu,118.5,65.5,0.0,F.Cu,retained
C37,137.0,63.6,0.0,F.Cu,148.45,65.25,90.0,F.Cu,retained
C38,137.0,58.2,0.0,F.Cu,145.2,65.55,90.0,F.Cu,retained
C4,62.0575,61.4,180.0,F.Cu,67.5,65.4,90.0,F.Cu,retained
C40,113.8,71.8,90.0,F.Cu,114.8,69.85,90.0,F.Cu,retained
C44,101.7,65.25,0.0,F.Cu,98.0,58.9,90.0,F.Cu,retained
C45,109.2,69.25,0.0,F.Cu,,,,,removed
C46,100.5,68.2,0.0,F.Cu,98.05,60.9,90.0,F.Cu,retained
C47,101.7,66.25,0.0,F.Cu,102.9,63.95,90.0,F.Cu,retained
C48,159.8,64.3,90.0,F.Cu,152.55,65.3,90.0,F.Cu,retained
C49,97.7,68.4,-90.0,F.Cu,125.0,59.75,0.0,F.Cu,retained
C5,143.8375,64.25,90.0,F.Cu,137.25,63.0,90.0,F.Cu,retained
C6,149.9875,65.75,0.0,F.Cu,147.25,64.15,90.0,F.Cu,retained
C7,88.138,59.55,0.0,F.Cu,87.0,59.6,0.0,F.Cu,retained
