Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity
C1,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C10,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C11,10n X7R,C:0402,Samsung Electro-Mechanics,CL05B103KB5NNNC,C15195,1
C12,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C13,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C14,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C15,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C16,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C17,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C18,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C19,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C2,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C20,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C21,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C22,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C23,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C25,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1
C26,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1
C27,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1
C28,47u 16V X5R,C:1210,YAGEO,CC1210KKX5R7BB476,C596320,1
C29,330p C0G,C:0402,Murata,GRM1555C1H331JA01D,C76965,1
C3,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C30,330p C0G,C:0402,Murata,GRM1555C1H331JA01D,C76965,1
C31,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C32,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C33,1n,C:0402,FH,0402CG102J500NT,C53547,1
C34,1n,C:0402,FH,0402CG102J500NT,C53547,1
C35,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C36,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C37,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C38,22n X7R,C:0402,Samsung Electro-Mechanics,CL05B223KB5VPNC,C307335,1
C4,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C40,10u,C:0603,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,1
C44,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C46,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C47,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1
C48,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C49,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C5,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C6,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C7,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C8,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
C9,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1
CF1,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF10,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF11,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF12,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF13,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF14,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF15,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF16,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF2,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF3,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF4,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF5,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF6,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF7,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF8,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
CF9,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1
D1,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D10,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D11,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D12,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D13,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D14,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D15,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D16,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D17,"PESD5V0S1BA,115",D:SOD-323,Nexperia,"PESD5V0S1BA,115",C19224,1
D18,"PESD3V3U1UB,115",D:SOD-523,Nexperia,"PESD3V3U1UB,115",C2443469,1
D19,"PESD3V3U1UB,115",D:SOD-523,Nexperia,"PESD3V3U1UB,115",C2443469,1
D2,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D20,GREEN / STATUS,LED:0603,Lite-On,LTST-C190KGKT,C125094,1
D3,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D4,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D5,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D6,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D7,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D8,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D9,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
FB1,600R@100MHz 500mA,L:0603,Murata,BLM18AG601SN1D,C19330,1
