Ref,Pin,Polarity,Net,PCB_X_mm,PCB_Y_down_mm
PD10,1,K,PD_IN10,132.196343,105.454373
PD10,2,A,AGND,135.451266,105.997951
PD10,3,A,AGND,135.220657,107.378827
PD10,4,K,PD_IN10,131.965734,106.835249
PD7,1,K,PD_IN7,81.65755,66.409978
PD7,2,A,AGND,78.364759,66.191964
PD7,3,A,AGND,78.45725,64.795022
PD7,4,K,PD_IN7,81.750041,65.013036
D13,1,A,3V3,173.585516,72.615244
D13,2,K,LED_K13,174.238884,75.028356
D2,1,A,3V3,82.606591,106.957546
D2,2,K,LED_K2,80.122809,107.241854
PD9,1,K,PD_IN9,120.934829,93.143902
PD9,2,A,AGND,122.047406,96.250696
PD9,3,A,AGND,120.729371,96.722698
PD9,4,K,PD_IN9,119.616794,93.615904
PD14,1,K,PD_IN14,163.496825,67.46497
PD14,2,A,AGND,160.271207,66.768274
PD14,3,A,AGND,160.566775,65.39983
PD14,4,K,PD_IN14,163.792393,66.096526
U10,1,See manufacturer pinout,GND,108.8375,70.55
U10,2,See manufacturer pinout,GND,108.8375,71.05
U10,3,See manufacturer pinout,GND,108.8375,71.55
U10,4,See manufacturer pinout,IMU_INT,108.8375,72.05
U10,5,See manufacturer pinout,3V3,109.5,72.2125
U10,6,See manufacturer pinout,GND,110.0,72.2125
U10,7,See manufacturer pinout,GND,110.5,72.2125
U10,8,See manufacturer pinout,3V3,111.1625,72.05
U10,9,See manufacturer pinout,unconnected-(U10-INT2-Pad9),111.1625,71.55
U10,10,See manufacturer pinout,unconnected-(U10-NC-Pad10),111.1625,71.05
U10,11,See manufacturer pinout,unconnected-(U10-NC-Pad11),111.1625,70.55
U10,12,See manufacturer pinout,3V3,110.5,70.3875
U10,13,See manufacturer pinout,I2C_SCL,110.0,70.3875
U10,14,See manufacturer pinout,I2C_SDA,109.5,70.3875
D11,1,A,3V3,160.556678,105.792128
D11,2,K,LED_K11,158.109322,106.302472
PD1,1,K,PD_IN1,97.919208,96.23759
PD1,2,A,AGND,99.062259,93.141879
PD1,3,A,AGND,100.375592,93.62681
PD1,4,K,PD_IN1,99.232541,96.722521
PD12,1,K,PD_IN12,169.155451,99.958599
PD12,2,A,AGND,170.500523,96.945165
PD12,3,A,AGND,171.778949,97.515801
PD12,4,K,PD_IN12,170.433877,100.529235
D8,1,A,3V3,102.648355,77.537649
D8,2,K,LED_K8,102.532245,80.034951
U1,1,See manufacturer pinout,LED_LAT,119.0625,60.75
U1,2,See manufacturer pinout,LED_K1,119.0625,61.25
U1,3,See manufacturer pinout,LED_K2,119.0625,61.75
