Reference,Value,Footprint,Quantity,Populate,X_mm,Y_mm,Rotation_deg
U9,STM32C031C6T6,IR_Glasses:LQFP-48_7x7mm_P0.5mm,1,Yes,110,55,0
U1,TLC59283RGER,IR_Glasses:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,1,Yes,110,71,0
U10,LSM6DS3TR-C,IR_Glasses:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,Yes,122,52,0
U6,TLV9061IDBVR,IR_Glasses:SOT-23-5,1,Yes,97,52,0
J1,TE 0-1734839-5,IR_Glasses:TE_0-1734839-5_1x05-1MP_P0.5mm_Horizontal,1,Yes,135,51,0
J2,TC2050-IDC-NL / ARM2010,IR_Glasses:Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical,1,PCB pads only,83,51,0
U11,PESD3V3L2BT,IR_Glasses:SOT-23,1,Yes,127,59,0
D17,PESD3V3S1BA,IR_Glasses:D_SOD-323,1,Yes,141,47,0
FB1,600R@100MHz 500mA,IR_Glasses:L_0603_1608Metric,1,Yes,100,60,0
NT1,AGND-GND star,IR_Glasses:NetTie-2_SMD_Pad0.5mm,1,PCB pads only,100,63,0
R1,2.65k,IR_Glasses:R_0402_1005Metric,1,Yes,106.5,74,0
R2,10k,IR_Glasses:R_0402_1005Metric,1,Yes,94,50,0
R3,10k,IR_Glasses:R_0402_1005Metric,1,Yes,94,54,0
R4,10k,IR_Glasses:R_0402_1005Metric,1,Yes,101,54,0
R5,100k,IR_Glasses:R_0402_1005Metric,1,Yes,117.5,58,0
R6,4.7k,IR_Glasses:R_0402_1005Metric,1,Yes,120,49,0
R7,4.7k,IR_Glasses:R_0402_1005Metric,1,Yes,123,49,0
R8,22,IR_Glasses:R_0402_1005Metric,1,Yes,131,58,0
R9,22,IR_Glasses:R_0402_1005Metric,1,Yes,131,61,0
R10,10k,IR_Glasses:R_0402_1005Metric,1,Yes,114,69,0
R11,100,IR_Glasses:R_0402_1005Metric,1,Yes,105,82,0
R12,100,IR_Glasses:R_0402_1005Metric,1,Yes,115,82,0
R13,47,IR_Glasses:R_0402_1005Metric,1,Yes,97,56,0
U2,TLV9064IDR,IR_Glasses:SOIC-14_3.9x8.7mm_P1.27mm,1,Yes,71,54,0
U3,TLV9064IDR,IR_Glasses:SOIC-14_3.9x8.7mm_P1.27mm,1,Yes,71,117,0
PD1,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,100,72,0
D1,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,100,68.5,0
RF1,100k,IR_Glasses:R_0402_1005Metric,1,Yes,65.8,50.9,0
CF1,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,65.8,52.5,0
PD2,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,84,62,0
D2,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,84,58.5,0
RF2,100k,IR_Glasses:R_0402_1005Metric,1,Yes,65.8,56,0
CF2,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,65.8,57.6,0
PD3,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,63,63,0
D3,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,63,59.5,0
RF3,100k,IR_Glasses:R_0402_1005Metric,1,Yes,76.2,50.9,0
CF3,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,76.2,52.5,0
PD4,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,47,73,0
D4,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,47,69.5,0
RF4,100k,IR_Glasses:R_0402_1005Metric,1,Yes,76.2,56,0
